GENE_SYMBOLS,refseq_ids
KBTBD12,NM_001370224
NRG1,NM_001159995
IRF2BP2,NM_001077397
C11orf95,NA
MOGAT1,NM_058165
CBARP,NM_001393918
TOMM5,NM_001001790
NNAT,NM_001322802
CENPB,NM_001810
SURF2,NM_001278928
TIMM17B,NM_001167947
TXK,NM_003328
PRDX5,NM_001358511
STX1B,NM_052874
FAM210B,NM_080821
BCKDK,NM_001122957
SAMD1,NM_138352
RPL7A,NM_000972
FJX1,NM_014344
DNA2,NM_001080449
CYGB,NM_134268
PHLDA3,NM_012396
AMOTL2,NM_001278683
RPS19,NM_001022
WFS1,NM_001145853
RNF7,NM_001201370
HEIH,NR_045680
NR1D1,NM_021724
RNF208,NM_001388297
CATSPERE,NM_001130957
EHD1,NM_001282444
UBTF,NM_001076683
POLR2K,NM_005034
DYNLRB1,NM_001319157
SEMA7A,NM_001146029
FUNDC1,NM_173794
NHS,NM_001136024
SELENOH,NM_001321335
ARL4A,NM_001037164
TP53I11,NM_001076787
S100A6,NM_014624
TRAPPC5,NM_001042461
ESRRG,NM_001134285
STPG2,NM_174952
CCDC184,NM_001013635
NUDT16L1,NM_001193452
DAXX,NM_001141969
CENPX,NM_001271006
RPS14,NM_001025070
PPP1R1A,NM_006741
CEP152,NM_001194998
FNDC9,NM_001001343
TOMM34,NM_006809
TSPYL4,NM_021648
RPL41,NM_001035267
STK10,NM_005990
DNAJC14,NM_001394687
ZBED1,NM_001171135
TRIB2,NM_021643
HCCS,NM_001122608
JAGN1,NM_001363890
TRMT112,NM_001286082
ARMCX2,NM_001282231
VPS25,NM_032353
MAFK,NM_002360
IGFBP6,NM_002178
LSM7,NM_016199
SH3RF3,NM_001099289
INA,NM_032727
EMD,NM_000117
UQCRC1,NM_003365
