"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"MISP3","0.000998518379731765","9.30481258855891","8.29499819023447",0.00371427234989287,1
"SAMD1","8.11541058831017e-05","12.8610583283812","11.7895995415843",0.00044963414729306,1
"PRKACA","0.000667836473268459","68.7358617495129","65.3723924760417",0.00264999175569994,1
"ADGRL1","0.284572089729451","116.676601234813","115.215613563908",0.406150826256666,1
"DDX39A","0.931030991245028","6.5152011133867","6.45267294263909",0.957033249540319,1
"PKN1","0.263698279127779","16.4855600189797","16.0365498306",0.383354858823227,1
"GIPC1","0.0681916487679614","58.0502886996633","55.1813924964362",0.1298549009605,1
"DNAJB1","0.0166762178555854","33.9818361771119","31.0248049766298",0.0405146574824799,1
"TECR","0.00328069080805854","39.0077697556881","35.5626171673336",0.0101132396573763,1
"NDUFB7","0.000279568981454918","29.1746945009427","24.5390202728222",0.00126505189639959,1
"ZNF333","0.900300999951643","16.359645811985","16.2716326350982",0.936575502476895,1
"SLC1A6","0.000176833821962065","10.9845687903571","9.87238682968418",0.000861246203687128,1
"ILVBL","0.0504789839852666","8.17596017830683","7.71523565399687",0.101268496770443,1
"BRD4","0.713043353199439","94.1328122792582","95.152915437835",0.799536777699963,1
"AKAP8","0.733603015684861","24.5217873911637","24.2876512742028",0.816648018492403,1
"AKAP8L","0.156214345283432","88.7138459684408","90.9881014886201",0.253717137353436,1
"WIZ","0.573106631765403","7.73876243555621","7.64182485491568",0.68619145297526,1
"TPM4","0.00174260152419461","39.7944869293153","37.9383014827305",0.00595576436114575,1
"RAB8A","0.000163558914449542","9.55158813522007","8.81790597895241",0.000806181601872031,1
"FAM32A","6.39106033373229e-09","21.5557036178921","17.9810376005393",2.01397391145905e-07,8.96218390599279e-05
"AP1M1","0.00021945546525685","52.3682679384092","50.1314974428337",0.00103303927133159,1
"EPS15L1","3.6403705879977e-05","63.5287133842188","67.3972481917441",0.000229021609490766,0.510489167554917
"C19orf44","0.580937610706598","4.5100867635652","4.42797868717449",0.69243417891531,1
"CHERP","0.000404921160928507","22.0324518912168","20.8465119076566",0.00173221764481405,1
"SLC35E1","9.52466204485202e-05","25.6964931269352","24.1363080590333",0.000512919876555145,1
"MED26","0.339036194617678","10.1282118429392","10.3352647317928",0.464832279734425,1
"SMIM7","0.301975732401203","38.5199500061024","39.1966655783971",0.425502983868777,1
"TMEM38A","0.0607883681222899","68.0748321800681","66.2408196974835",0.118050502579546,1
"NWD1","0.101087830344886","2.54539759107094","2.27337336661785",0.178398520630045,1
"SIN3B","0.287375047327422","74.3431408874061","71.8754654194413",0.409289080710181,1
"HAUS8","0.772318073020018","2.63706773592461","2.57410609673288",0.845859093699608,1
"MYO9B","0.000170615756199956","48.8684086343035","53.9912989872523",0.000834563163533343,1
"USE1","0.031764417924997","11.080175021348","10.2965436634418",0.0693418004571315,1
"OCEL1","0.0120201782335679","7.58386263711823","7.04132736124363",0.0306447203714009,1
"NR2F6","5.04161491770226e-07","17.0646069908617","15.2912611487636",6.72679029409503e-06,0.00706985659909388
"USHBP1","0.940107674628806","10.3218838698016","10.3648734051253",0.96264616914777,1
"BABAM1","0.000210656244275716","42.1065064046296","39.381744660161",0.000998658726666114,1
"ABHD8","0.0053703456737719","48.1511762644263","46.4314792522538",0.0153816089426682,1
"MRPL34","0.00285456910097311","26.671552340895","24.3098442210595",0.00900148920686888,1
"DDA1","2.40888558996838e-07","29.0331426460383","25.7049502772826",3.62833540581381e-06,0.00337798026281266
"ANO8","0.0286250250219652","22.0867106794506","23.7124386039662",0.0637865447136529,1
"GTPBP3","0.621093782059681","9.64502871139172","9.50088119086098",0.726526368520429,1
"MVB12A","0.428871948870689","3.60337804965923","3.69854348595702",0.554088017229931,1
"TMEM221","4.14813944552476e-05","3.55123646217165","3.03484758198606",0.000255914471819594,0.581693594445937
"SLC27A1","0.717527548874495","21.682623155443","21.9514820914769",0.803472715632599,1
"PGLS","0.168691269761351","6.55170487696891","6.2303562431401",0.270010007517798,1
"NIBAN3","0.110585865529723","2.74182643905659","3.02572638200417",0.191686723402139,1
"COLGALT1","0.375908816377428","14.0774372041242","13.8140037342227",0.502384361679482,1
"UNC13A","0.00175562700477236","163.22070322325","157.118573442899",0.00599589807304501,1
"MAP1S","0.0273416729826251","41.4157932356311","38.6525922250585",0.0615231515140167,1
